diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,temp_max,Umd_ relativa,direcao_vento.,Vel_vento
11,0,1,-17.3120,-58.2700,12,34.6,26,32,2.7
10,0,0.9,-17.1670,-58.2860,33.5,34.6,26,32,2.7
10,2.9,0.8,-17.1560,-58.3080,120.4,34.5,25,52,2.8
27,0,1,-17.1880,-57.9130,24.6,33.3,26,48,2.5
26,0,1,-17.1870,-57.9020,35.4,33.3,26,48,2.5
27,0,1,-17.1850,-57.9080,56,33.3,26,48,2.5
27,0,1,-17.1750,-57.9100,38.4,33.3,26,48,2.5
27,0,1,-17.1660,-57.9110,20.1,33.3,26,48,2.5
5,0.1,1,-17.1460,-58.3050,37.8,33.3,26,48,2.5
6,0.1,0.8,-17.1460,-58.2990,107,33.3,26,48,2.5
6,0.2,0.8,-17.1440,-58.2940,53,33.3,26,48,2.5
5,0.3,0.9,-17.1360,-58.3070,119,33.3,26,48,2.5
3,0.2,0.6,-17.1370,-58.3180,69,33.3,26,48,2.5
6,0.4,1,-17.1340,-58.2950,14.2,33.3,26,48,2.5
6,0,1,-17.1350,-58.2990,95.6,33.4,22,4,2.8
7,0,0.9,-17.1490,-58.2960,84.2,33.4,22,4,2.8
15,0,1,-16.1410,-58.4540,130.9,35,24,13,2.4
6,0,1,-17.1250,-58.3010,46.5,35,24,13,2.4
14,0,1,-16.1440,-58.4720,125.9,35,24,13,2.4
8,0,1,-17.1180,-58.2870,47.7,34.6,31,55,2.3
5,0,1,-17.1020,-58.3270,11.1,34.6,31,55,2.3
26,0,0.8,-17.3110,-58.1270,99.7,25.8,38,195,1.8
25,0,0.9,-17.2950,-58.1290,31.9,25.8,38,195,1.8
29,0,0.9,-17.3350,-58.1320,127.6,29,38,347,1.7
29,0,0.9,-17.3240,-58.1230,105.2,29,38,347,1.7
28,0,0.9,-17.3140,-58.1250,107.2,29,38,347,1.7
29,0,0.9,-17.3130,-58.1150,14.9,29,38,347,1.7
27,0,0.9,-17.3050,-58.1270,62.8,29,38,347,1.7
25,0,0.9,-17.2970,-58.1380,10.2,29,38,347,1.7
26,0,0.9,-17.2960,-58.1280,128.1,29,38,347,1.7
25,0,0.9,-17.2860,-58.1300,125.9,29,38,347,1.7
23,0,0.9,-17.2880,-58.1400,27.5,29,38,347,1.7
23,0,0.9,-17.2820,-58.1360,84.6,29,38,347,1.7
4,0.1,1,-17.0330,-58.2740,50.1,29,38,347,1.7
4,0.2,0.8,-17.0340,-58.2840,40.8,29,38,347,1.7
5,0.1,0.8,-17.0270,-58.2810,30.1,29,38,347,1.7
5,0.1,1,-17.0260,-58.2710,107.9,29,38,347,1.7
7,0.1,0.8,-17.0180,-58.2830,14.6,29,38,347,1.7
7,0.1,1,-17.0160,-58.2730,30.2,29,38,347,1.7
25,0,1,-17.2810,-58.1260,40.1,29,38,347,1.7
19,0,1,-17.2670,-58.1600,61.1,29,38,347,1.7
7,0.4,0.8,-17.1180,-58.3320,15.6,29,38,347,1.7
7,0.4,1,-17.1160,-58.3220,96.9,29,38,347,1.7
7,0.4,0.9,-17.1150,-58.3120,30.4,29,38,347,1.7
7,0.3,0.8,-17.1040,-58.3030,36,29,38,347,1.7
7,0.4,0.9,-17.1060,-58.3130,52.9,29,38,347,1.7
7,0.1,1,-17.0980,-58.2630,13.6,29,38,347,1.7
7,0.1,1,-17.0960,-58.2530,66.9,29,38,347,1.7
5,0.3,0.7,-17.0750,-58.2980,18.6,29,38,347,1.7
3,0.1,0.9,-17.0690,-58.2570,19.1,29,38,347,1.7
2,0.2,0.8,-17.0530,-58.2810,21.7,29,38,347,1.7
5,0.2,0.7,-17.0370,-58.3040,19,29,38,347,1.7
32,0,0.9,-17.3340,-58.1000,95.6,34.6,25,360,1.8
10,0,1,-17.1050,-58.2460,39.3,34.6,25,360,1.8
32,0,0.9,-17.3260,-58.1110,78.9,34.6,25,360,1.8
32,0,0.9,-17.3250,-58.1010,65.2,34.6,25,360,1.8
32,0,0.9,-17.3160,-58.1020,32.8,34.6,25,360,1.8
30,0,1,-17.2790,-58.1080,58.6,34.6,25,360,1.8
18,0,1,-17.1490,-58.2290,12.3,34.6,25,360,1.8
10,0,1,-17.1060,-58.2550,41.5,34.6,25,360,1.8
10,0,1,-17.0960,-58.2330,25,34.6,25,360,1.8
10,0,1,-17.0950,-58.2230,72.5,34.6,25,360,1.8
7,0,1,-17.0880,-58.2440,41.7,34.6,25,360,1.8
8,0,1,-17.0870,-58.2340,30.5,34.6,25,360,1.8
9,0,1,-17.0850,-58.2240,7,34.6,25,360,1.8
0,0,1,-17.0330,-58.2520,11.3,34.6,25,360,1.8
1,0,1,-17.0320,-58.2420,8.3,34.6,25,360,1.8
0,0,1,-17.0240,-58.2540,22.6,34.6,25,360,1.8
1,0,1,-17.0230,-58.2440,41.6,34.6,25,360,1.8
20,0,1,-17.2070,-58.1710,31.1,27.9,38,268,2.9
21,0,1,-17.2080,-58.1440,34.3,27.9,38,268,2.9
35,0,0.8,-17.3280,-58.0700,56.9,27.9,38,268,2.9
35,0,0.8,-17.3220,-58.0760,59.4,27.9,38,268,2.9
35,0,0.9,-17.3560,-58.0740,43.9,28.5,32,301,1.9
35,0,0.9,-17.3360,-58.0910,21.8,28.5,32,301,1.9
35,0,0.9,-17.3340,-58.0770,80.8,28.5,32,301,1.9
36,0,0.9,-17.3230,-58.0780,52.6,28.5,32,301,1.9
36,0,1,-17.3120,-58.0800,34.4,28.5,32,301,1.9
37,0,1,-17.3740,-58.0620,112.7,36.6,28,283,1.5
37,0,1,-17.4140,-58.0970,145.3,36.6,28,283,1.5
37,0,1,-17.3350,-58.0900,70.3,36.6,28,283,1.5
38,0,1,-17.3330,-58.0660,107.6,36.6,28,283,1.5
